timestamp,price,total_volumes,coin_id
1762707747345,1000.95,1661806202.130465,1
1762711304075,992.89,1513337605.0686593,1
1762714836533,999.33,1648625609.8971791,1
1762718501184,1004.24,1580894305.0486188,1
1762722066845,998.48,1623766903.5959277,1
1762725721827,997.1,1668845683.8643956,1
1762729325184,996.93,1692141507.815759,1
1762732915700,996.31,1718843151.6878853,1
1762736709392,1017.19,1815774416.350858,1
1762740052494,1011.24,1834328099.0850654,1
1762743708242,1010.15,1957992699.3882933,1
1762747312293,1013.65,1968107410.6578903,1
1762750887708,1011.43,1915959690.6501672,1
1762754506753,1006.06,1988483355.7820787,1
1762758213922,1007.76,1980383477.710268,1
1762761708575,1005.71,1788310959.3757596,1
1762765539904,997.61,2039068082.2920532,1
1762769025128,1003.81,2068578500.9188235,1
1762772546767,998.75,1809608754.3006248,1
1762776165990,999.58,2063601918.7534838,1
1762779966913,997.04,2062390904.5082505,1
1762783401277,1001.33,1867589201.6327138,1
1762786890201,984.45,1997413491.5278184,1
1762790526295,977.34,1930361126.51737,1
1762794029399,980.04,2019408368.1749482,1
1762797710568,985.76,1931451466.1851993,1
1762801347678,982.81,2050690581.4550552,1
1762804952607,988.09,2030357903.7314632,1
1762808593343,987.35,2002924944.6982906,1
1762812111459,985.39,2012254398.169364,1
1762815821513,993.64,1921666390.5893242,1
1762819333820,991.91,1953056003.2683258,1
1762822980267,990.49,1867855065.5424783,1
1762826525770,1001.42,1888999161.3817513,1
1762830054061,1003.69,1903300736.0268269,1
1762833625018,1001.16,1886783436.5075366,1
1762837298328,987.65,1881174453.7609262,1
1762840971825,984.7,1901441803.9075184,1
1762844468315,981.46,1862525532.4340117,1
1762848253443,973.98,1938253856.2915375,1
1762851714400,977.04,1818495901.0090103,1
1762855472994,975.43,1875829159.271345,1
1762858933121,978.23,1859991878.2385278,1
1762862556775,979.97,1881231512.302828,1
1762866157770,981.2,1765922755.8914177,1
1762869775969,977.11,1846811763.2762105,1
1762873236906,976.9,1805745422.8971906,1
1762877010552,976.18,1762306847.8774347,1
1762880461131,974.7,1732345062.7054708,1
1762884075163,967.37,1815486416.6779342,1
1762887713733,967.8,1813402830.190894,1
1762891301690,962.68,1821372854.6658223,1
1762894877350,959.89,1850393670.748172,1
1762898521407,959.27,1726116681.4533234,1
1762902033302,964.57,1845535047.6673305,1
1762905710331,957.15,1720439846.7132306,1
1762909365117,956.97,1882500974.2276988,1
1762912897604,964.74,1803057666.6841903,1
1762916535602,960.89,1764554173.2014909,1
1762920111717,961.64,1568723745.6696959,1
1762923686713,959.45,1659063460.8401172,1
1762927264988,957.76,1568246368.122818,1
1762930826965,959.34,1559105985.7372813,1
1762934512870,953.59,1466156089.562614,1
1762938099722,963.57,1572743797.5011559,1
1762941783647,965.84,1581765563.336867,1
1762945287033,972.17,1525475004.2098408,1
1762948926736,970.62,1417292927.1515307,1
1762952484078,973.3,1489053096.7517617,1
1762956152829,976.77,1591251186.6721294,1
1762959673871,965.92,1587134572.119528,1
1762963324282,949.88,1626720981.7891383,1
1762966919622,942.78,1697825230.0523624,1
1762970545552,949.92,1577910494.8614118,1
1762974199796,950.22,1594231544.9215121,1
1762977664400,948.77,1630846801.578096,1
1762981262438,953.21,1602689622.176248,1
1762984906319,954.48,1605442826.9114664,1
1762988513701,956.15,1575825047.4270792,1
1762992226198,952.92,1547574582.8027587,1
1762995613586,954.76,1534322984.6312788,1
1762999249991,955.53,1523323556.6001804,1
1763002913441,954.51,1518323190.1937656,1
1763006620328,960.11,1582327889.9346912,1
1763010088523,960.82,1574486449.4198751,1
1763013674914,968.74,1634058764.8559918,1
1763017219480,968.6,1635364888.138694,1
1763020916145,964.16,1640473682.7748964,1
1763024458686,965.87,1539404524.0166757,1
1763028063511,960.34,1621919892.3346987,1
1763031645231,963.36,1616444543.5974998,1
1763035278641,967.06,1601404977.9026616,1
1763038904197,965.04,1606536297.313729,1
1763042569729,959.95,1605957118.2745132,1
1763046052111,964.56,1620356626.6111884,1
1763049695632,955.71,1590622678.0677946,1
1763053270118,945.36,1478924723.1107256,1
1763056893407,932.79,1615481463.6898706,1
1763060474363,917.46,1798811751.3605475,1
1763064087116,913.2,1935816772.2197206,1
1763067834683,914.89,2048593583.7764273,1
1763071310422,913.4,2099432864.1559408,1
1763074946901,923.49,2156548562.9330015,1
1763078602080,924.54,2224429016.234831,1
1763082120353,920.76,2251071712.305987,1
1763085999345,921.21,2117299411.21088,1
1763089298383,929.77,2350110173.4888697,1
1763092874392,923.46,2238263408.0805926,1
1763096501138,912.76,2433110236.322985,1
1763100121540,918.11,2555673037.8754687,1
1763103749871,914.22,2603404712.0635624,1
1763107309590,923.57,2676182234.7231927,1
1763110917326,917.92,2710850312.688821,1
1763114780200,910.69,2685388863.5460486,1
1763118110614,913.56,2778489023.623423,1
1763121726076,905.76,2821604743.8820066,1
1763125424534,905.43,3044935695.602504,1
1763128914069,905.41,3107970225.79243,1
1763132848424,921.4,3363826780.3013034,1
1763136124404,926.39,3021672700.4250555,1
1763139668228,930.75,3333046362.636722,1
1763143359359,923.21,3257376067.3215113,1
1763146899609,920.1,3120660395.396628,1
1763150628487,931.48,2999134239.4086323,1
1763154129439,917.98,2912361926.8833327,1
1763157757700,924.26,2911257487.2412057,1
1763161267134,921.62,2848260421.107868,1
1763164921603,917.7,2858531583.3570466,1
1763168509041,919.58,2835961192.7586775,1
1763172261146,926.5,2812331142.3039317,1
1763175679448,934.87,2810875333.677998,1
1763179239007,931.48,2775881364.8426,1
1763182853051,927.28,2626500000.40112,1
